ID,Title,Company,Locations,Salary String,Min Salary,Max Salary,Source,URL,Publication Date,Category,Description
himalayas-https://himalayas.app/companies/us-conec-ltd/jobs/sales-account-manager,Sales Account Manager,name,"Algeria, Andorra, Angola, Austria, Bahrain, Belarus, Belgium, Botswana, Bulgaria, Burkina Faso, Burundi, Cabo Verde, Cameroon, Central African Republic, Chad, Comoros, Congo, The Democratic Republic of the, Cyprus, Czechia, Denmark, Egypt, Estonia, Ethiopia, Finland, France, Gabon, Gambia, Germany, Ghana, Greece, Guinea, Holy See (Vatican City State), Hungary, Iceland, Ireland, Israel, Italy, Jordan, Kenya, Kuwait, Latvia, Liberia, Libya, Liechtenstein, Lithuania, Luxembourg, Madagascar, Malawi, Mali, Malta, Mauritius, Monaco, Morocco, Mozambique, Namibia, Netherlands, Niger, Nigeria, Norway, Oman, Poland, Portugal, Qatar, Romania, Russian Federation, Rwanda, San Marino, Saudi Arabia, Senegal, Seychelles, Sierra Leone, Slovakia, South Africa, Spain, Sudan, Sweden, Switzerland, Tanzania, Togo, Tunisia, Turkey, Uganda, Ukraine, United Kingdom, Zambia, Zimbabwe","$150,000 - $180,000 (Est. Senior Market Rate)",150000,165000,Himalayas,https://himalayas.app/companies/us-conec-ltd/jobs/sales-account-manager,2026-06-16T16:33:42.000Z,Engineering & Tech,"US Conec, Ltd. Engineering Innovation. Precision Plastics. Powering AI. US Conec, Ltd. is a trusted, global company that prides itself on engineering excellence—creating innovative connectivity solutions that support today’s most important technologies. We foster a friendly, inclusive culture that v"
jobicy-146915,"Regional Sales Manager, SMB – NY/NJ",Impel,USA,"$150,000 - $180,000 (Est. Senior Market Rate)",150000,165000,Jobicy,https://jobicy.com/jobs/146915-regional-sales-manager-smb-ny-nj,2026-06-16T16:05:19+00:00,Sales & Account Management,"Location: New York/New Jersey preferred Travel: up to 70% The Regional Sales Manager position is an outside sales role primarily focused on direct selling, with some partner sales opportunities. The RSM will manage all aspects of the sales process, with a primary focus on net new business, prospecti"
himalayas-https://himalayas.app/companies/glueckkanja-ag/jobs/azure-cloud-architect-m-w-d-8965525546,Azure Cloud Architect (m/w/d),name,Germany,"$150,000 - $180,000 (Est. Senior Market Rate)",150000,165000,Himalayas,https://himalayas.app/companies/glueckkanja-ag/jobs/azure-cloud-architect-m-w-d-8965525546,2026-06-16T15:45:50.000Z,Engineering & Tech,beschreibung Azure mit Azzurro! Bei glueckkanja ist der Cloud Architect Himmel azurblau – denn bei uns genießt du von Anfang an das volle Vertrauen für deine Azure Projekte. Keine Lust mehr auf starre Vorgaben und graue Wolken im Job? Dann starte jetzt bei glueckkanja und freue dich über ganz viel F
jobicy-146875,Semi-Senior Back-end (Python) Engineer – E-learning,Truelogic,LATAM,"$150,000 - $180,000 (Est. Senior Market Rate)",150000,165000,Jobicy,https://jobicy.com/jobs/146875-semi-senior-back-end-python-engineer-e-learning,2026-06-16T07:03:36+00:00,Engineering & Tech,"About Truelogic At Truelogic we are a leading provider of nearshore staff augmentation services headquartered in New York. For over two decades, we’ve been delivering top-tier technology solutions to companies of all sizes, from innovative startups to industry leaders, helping them achieve their dig"
jobicy-146874,Senior Data Analyst – Travel Entertainment,Truelogic,LATAM,"$150,000 - $180,000 (Est. Senior Market Rate)",150000,165000,Jobicy,https://jobicy.com/jobs/146874-senior-data-analyst-travel-entertainment-2,2026-06-16T07:03:34+00:00,Data & Analytics,"About Truelogic At Truelogic we are a leading provider of nearshore staff augmentation services headquartered in New York. For over two decades, we’ve been delivering top-tier technology solutions to companies of all sizes, from innovative startups to industry leaders, helping them achieve their dig"
jobicy-146873,Senior Product Designer (UX Specialist) – Media Company,Truelogic,LATAM,"$150,000 - $180,000 (Est. Senior Market Rate)",150000,165000,Jobicy,https://jobicy.com/jobs/146873-senior-product-designer-ux-specialist-media-company,2026-06-16T07:03:33+00:00,Design & Creative,"About Truelogic At Truelogic we are a leading provider of nearshore staff augmentation services headquartered in New York. For over two decades, we’ve been delivering top-tier technology solutions to companies of all sizes, from innovative startups to industry leaders, helping them achieve their dig"
jobicy-146858,"Agency Sales Manager – Atlanta, GA",Hagerty,USA,"$150,000 - $180,000 (Est. Senior Market Rate)",150000,165000,Jobicy,https://jobicy.com/jobs/146858-agency-sales-manager-atlanta-ga,2026-06-16T04:19:51+00:00,Sales & Account Management,Say hello to Hagerty Hagerty is a company built by drivers for drivers. We put our members at the center of everything we do and are dedicated to making it easier and more enjoyable for enthusiasts to drive and celebrate the machines they love. We’re proud to be the world’s largest insurer of collec
jobicy-146810,Channel Sales Manager,Fortive,UK,"$150,000 - $180,000 (Est. Senior Market Rate)",150000,165000,Jobicy,https://jobicy.com/jobs/146810-channel-sales-manager-2,2026-06-16T04:19:16+00:00,Sales & Account Management,"About the role: The candidate is expected to Manage a network of Distribution Channels in the UK&amp;I, Conduct Direct Business Meetings Strategic Channel Partners, Daily Manage revenue and bookings forecast, coordinate regional activities with Sales and Marketing Teams, Sales Operations, Marketing "
jobicy-146733,Vice President of Business Operations & GTM Strategy,Stampli,USA,"$250,000",250000,250000,Jobicy,https://jobicy.com/jobs/146733-vice-president-of-business-operations-gtm-strategy,2026-06-16T03:56:25+00:00,Product & Project Management,"Description We are seeking a strategic, operationally rigorous, and AI-forward Vice President of Business Operations and GTM strategy to lead and scale our business operations function across the go-to-market organization. This executive will serve as a key cross-functional partner to Sales, Finance"
jobicy-146694,"Staff Product Manager, Activation",Linktree,USA,"$215,000-$230,000",215000,230000,Jobicy,https://jobicy.com/jobs/146694-staff-product-manager-activation,2026-06-16T03:55:54+00:00,Product & Project Management,"The Role As Staff Product Manager, Activation at Linktree, you will own one of the most important moments in our customer journey: helping new users get set up, understand Linktree's value, and reach their first meaningful outcome as quickly as possible. Linktree serves a massive global audience of "
himalayas-https://himalayas.app/companies/3-years-on-a-rock/jobs/remote-professional-transition-opportunity-for-experienced-real-estate-professio-8992332511,Remote Professional Transition Opportunity for Experienced Real Estate Professio,name,United Kingdom,"$100,000 - $200,000 GBP",100000,200000,Himalayas,https://himalayas.app/companies/3-years-on-a-rock/jobs/remote-professional-transition-opportunity-for-experienced-real-estate-professio-8992332511,2026-06-16T17:02:01.000Z,Engineering & Tech,"Remote Career Transition Opportunity for Real Estate Professionals | Flexible Work Structure For experienced real estate professionals who have spent years building relationships, managing client expectations, and working within fast-paced, results-focused environments, there often comes a point whe"
